team,region,matchType,Baron,Dra,Turts,kills,deaths,assists,CS,gold,damage,tanking,matches_played,matches_won,minutes_played,matches_lose,win_rate,Baron_per_game,Dra_per_game,Turts_per_game,kills_per_game,deaths_per_game,assists_per_game,CS_per_minute,gold_per_minute,damage_per_game,tanking_per_game,KDA
MCX,TW,2020 S10全球总决赛,3,13,16,54,103,112,6174,320882,324203.0,548793.0,6,1,196.7,5,0.1667,0.5,2.17,2.67,9.0,17.17,18.67,31.39,1631.33,54033.83,91465.5,1.612
WBGY,CN,2019 LDL 夏季赛,59,165,483,1079,948,2446,72744,4232105,4738198.0,6208435.0,72,42,2312.4,30,0.5833,0.82,2.29,6.71,14.99,13.17,33.97,31.46,1830.18,65808.31,86228.26,3.718
INF,CR,2021 LLA 开幕赛,26,68,196,411,269,924,30705,1681106,1742351.0,2470509.0,27,18,926.4,9,0.6667,0.96,2.52,7.26,15.22,9.96,34.22,33.14,1814.67,64531.52,91500.33,4.963
DG,HK,2019 LMS 春季赛,7,36,111,274,508,611,26865,1461508,1636028.0,2575527.0,28,6,858.2,22,0.2143,0.25,1.29,3.96,9.79,18.14,21.82,31.3,1702.99,58429.57,91983.11,1.742
FNC,EU,2019 S9全球总决赛,7,18,61,137,151,324,10533,611274,630654.0,976697.0,10,5,332.5,5,0.5,0.7,1.8,6.1,13.7,15.1,32.4,31.68,1838.42,63065.4,97669.7,3.053
OMG,CN,NEST2017全国电子竞技大赛,2,6,22,66,40,145,2456,164239,220981.0,283888.0,3,2,79.6,1,0.6667,0.67,2.0,7.33,22.0,13.33,48.33,30.85,2063.3,73660.33,94629.33,5.275
G2,EU,2019 欧美对抗赛,1,5,23,52,29,95,2206,144761,162955.0,201356.0,3,2,72.5,1,0.6667,0.33,1.67,7.67,17.33,9.67,31.67,30.43,1996.7,54318.33,67118.67,5.069
JT,TW,2018 LMS 夏季赛,17,65,207,440,412,1049,42008,2211387,2325591.0,3440219.0,36,16,1276.6,20,0.4444,0.47,1.81,5.75,12.22,11.44,29.14,32.91,1732.25,64599.75,95561.64,3.614
PGM,JP,2018 MSI 入围赛,1,6,19,51,75,110,6210,312003,298543.0,513262.0,6,1,187.2,5,0.1667,0.17,1.0,3.17,8.5,12.5,18.33,33.17,1666.68,49757.17,85543.67,2.147
RGE,EU,2020 S10全球总决赛,1,5,23,53,87,121,5585,290413,253170.0,460578.0,6,1,178.8,5,0.1667,0.17,0.83,3.83,8.83,14.5,20.17,31.24,1624.23,42195.0,76763.0,2.0
DK,KR,2019 S9全球总决赛 入围赛,8,28,76,134,73,287,8266,495180,484585.0,574814.0,8,7,247.2,1,0.875,1.0,3.5,9.5,16.75,9.13,35.88,33.44,2003.16,60573.13,71851.75,5.767
PSG,HK,2023全球总决赛 入围赛,8,24,71,138,97,325,9773,556275,776559.2,844455.3,9,6,298.2,3,0.6667,0.89,2.67,7.89,15.33,10.78,36.11,32.77,1865.44,86284.36,93828.37,4.773
DRX,KR,2019 LCK 春季赛,37,115,314,586,454,1347,52363,2857657,2776114.0,3899866.0,45,30,1532.5,15,0.6667,0.82,2.56,6.98,13.02,10.09,29.93,34.17,1864.7,61691.42,86663.69,4.258
Tyloo,CN,2018 LDL春季赛,35,95,278,505,435,1282,46548,2497214,2629795.0,3860980.0,40,24,1378.1,16,0.6,0.88,2.38,6.95,12.63,10.88,32.05,33.78,1812.07,65744.88,96524.5,4.108
PSG,HK,2024 MSI 入围赛,6,19,56,117,80,272,7166,425749,622110.3,742165.6,7,5,226.9,2,0.7143,0.86,2.71,8.0,16.71,11.43,38.86,31.58,1876.37,88872.9,106023.66,4.863
DFM,JP,2019 S9全球总决赛 入围赛,3,8,19,53,67,132,4628,272687,316087.0,472882.0,4,1,163.1,3,0.25,0.75,2.0,4.75,13.25,16.75,33.0,28.38,1671.9,79021.75,118220.5,2.761
BMR,AU,2019 MSI 入围赛,3,12,28,99,121,195,5588,331979,367294.0,575498.0,6,2,184.7,4,0.3333,0.5,2.0,4.67,16.5,20.17,32.5,30.25,1797.4,61215.67,95916.33,2.43
Tyloo,CN,德玛西亚杯青岛站,3,5,14,26,47,75,3180,166503,174944.0,243853.0,3,1,93.1,2,0.3333,1.0,1.67,4.67,8.67,15.67,25.0,34.16,1788.43,58314.67,81284.33,2.149
WBG,CN,2019德玛西亚杯,2,8,21,55,54,96,4167,227255,230938.0,345425.0,4,1,129.1,3,0.25,0.5,2.0,5.25,13.75,13.5,24.0,32.28,1760.3,57734.5,86356.25,2.796
IG,CN,2024LPL夏季赛,29,96,205,535,610,1278,42600,2350553,3165494.6,4507199.2,40,17,1277.5,23,0.425,0.73,2.4,5.13,13.38,15.25,31.95,33.35,1839.96,79137.37,112679.98,2.972
AL,CN,2024LPL夏季赛,38,100,308,677,585,1395,48679,2692967,3694323.5,4835087.0,45,27,1388.6,18,0.6,0.84,2.22,6.84,15.04,13.0,31.0,35.06,1939.34,82096.08,107446.38,3.542
FPX,CN,2019德玛西亚杯,4,9,26,66,77,137,4596,263373,303939.0,474686.0,4,2,145.3,2,0.5,1.0,2.25,6.5,16.5,19.25,34.25,31.63,1812.62,75984.75,118671.5,2.636
TR,SG,2017 GPL 东南亚 春季赛,1,8,31,76,114,143,5835,347550,423477.0,551071.0,6,2,206.9,4,0.3333,0.17,1.33,5.17,12.67,19.0,23.83,28.2,1679.8,70579.5,91845.17,1.921
JDG,CN,2024 LPL全球总决赛资格赛,8,24,61,146,135,319,10704,594091,780286.7,1033234.0,10,5,315.1,5,0.5,0.8,2.4,6.1,14.6,13.5,31.9,33.97,1885.4,78028.67,103323.4,3.444
100,US,2018 LCS 北美夏季赛,26,56,221,388,338,949,38844,2085185,2202367.0,3232970.0,32,18,1165.7,14,0.5625,0.81,1.75,6.91,12.13,10.56,29.66,33.32,1788.78,68823.97,101030.31,3.956
MVP,KR,2017亚洲对抗赛,4,8,16,39,32,96,4469,243115,225772.0,343314.0,3,1,134.1,2,0.3333,1.33,2.67,5.33,13.0,10.67,32.0,33.33,1812.94,75257.33,114438.0,4.219
BLG,CN,2023 德玛西亚杯,9,24,85,185,81,392,9145,540133,700849.2,820579.2,10,9,263.0,1,0.9,0.9,2.4,8.5,18.5,8.1,39.2,34.77,2053.74,70084.92,82057.92,7.123
FB,TR,2017 全球总决赛 入围赛,10,13,77,123,92,337,10976,653886,704870.0,922894.0,9,7,341.6,2,0.7778,1.11,1.44,8.56,13.67,10.22,37.44,32.13,1914.19,78318.89,102543.78,5.0
FPX,CN,2021 德玛西亚杯,3,10,22,63,45,120,3288,188945,243264.0,292231.0,3,3,99.2,0,1.0,1.0,3.33,7.33,21.0,15.0,40.0,33.15,1904.69,81088.0,97410.33,4.067
bbq,KR,2018 LCK夏季赛,16,48,148,275,420,677,46677,2274694,2016723.0,3624403.0,40,8,1386.0,32,0.2,0.4,1.2,3.7,6.88,10.5,16.93,33.68,1641.19,50418.08,90610.08,2.267
ALY,CN,2021 LDL 春季赛,45,148,362,851,805,2067,59073,3341053,3762780.0,5558789.0,59,32,1883.1,27,0.5424,0.76,2.51,6.14,14.42,13.64,35.03,31.37,1774.23,63775.93,94216.76,3.625
WBG,CN,2023全球总决赛,17,43,118,248,235,571,18902,1073350,1344505.1,1631990.5,19,11,591.9,8,0.5789,0.89,2.26,6.21,13.05,12.37,30.05,31.93,1813.4,70763.43,85894.24,3.485
BLG,CN,2019德玛西亚杯,4,16,40,87,107,185,7677,413275,381344.0,576933.0,8,3,239.8,5,0.375,0.5,2.0,5.0,10.88,13.38,23.13,32.01,1723.42,47668.0,72116.63,2.542
EDGY,CN,2021 LDL 春季赛,49,159,450,1012,750,2413,67143,3711679,4195388.0,5643656.0,65,44,1992.9,21,0.6769,0.75,2.45,6.92,15.57,11.54,37.12,33.69,1862.45,64544.43,86825.48,4.567
RoX,RU,2021 LCL 夏季赛,6,20,60,141,215,332,11029,625627,703088.0,1052763.0,13,4,370.1,9,0.3077,0.46,1.54,4.62,10.85,16.54,25.54,29.8,1690.43,54083.69,80981.77,2.2
TSM,US,2019 欧美对抗赛,1,4,14,34,46,82,2808,157256,170057.0,239853.0,3,1,91.1,2,0.3333,0.33,1.33,4.67,11.33,15.33,27.33,30.82,1726.19,56685.67,79951.0,2.522
NS,KR,2020 LCK 夏季赛,26,102,192,478,617,1142,45626,2422209,2665914.0,4122211.0,44,16,1433.9,28,0.3636,0.59,2.32,4.36,10.86,14.02,25.95,31.82,1689.25,60588.95,93686.61,2.626
MDK,EU,2018 LCS欧洲S8资格赛,7,12,41,68,54,175,6031,330288,350418.0,476695.0,5,3,183.5,2,0.6,1.4,2.4,8.2,13.6,10.8,35.0,32.87,1799.93,70083.6,95339.0,4.5
DW,AU,2021 LCO 夏季赛,17,66,176,463,434,991,29905,1689097,2053090.0,2778728.0,29,16,942.5,13,0.5517,0.59,2.28,6.07,15.97,14.97,34.17,31.73,1792.15,70796.21,95818.21,3.35
FPX,CN,2020 英雄联盟 季中杯,6,27,63,144,115,335,9664,557926,603208.0,983188.0,9,6,308.2,3,0.6667,0.67,3.0,7.0,16.0,12.78,37.22,31.36,1810.27,67023.11,109243.11,4.165
FLA,BR,2019 S9全球总决赛 入围赛,1,6,15,48,75,99,4696,253002,216611.0,394407.0,5,1,151.1,4,0.2,0.2,1.2,3.0,9.6,15.0,19.8,31.08,1674.4,43322.2,78881.4,1.96
TSM,US,2020 S10全球总决赛,1,10,22,48,85,98,6294,320644,325346.0,563834.0,6,0,201.0,6,0.0,0.17,1.67,3.67,8.0,14.17,16.33,31.31,1595.24,54224.33,93972.33,1.718
