player_name,team,region,matchType,position,kills,deaths,assists,CS,gold,damage,tanking,matches_played,matches_won,minutes_played,matches_lose,win_rate,kills_per_game,deaths_per_game,assists_per_game,CS_per_minute,gold_per_minute,damage_per_game,tanking_per_game,KDA
Aoshi,OPK,BR,2017 CBL 巴西夏季赛,TOP,10,23,34,1982,89484,91532.0,165730.0,7,3,254.9,4,0.4286,1.43,3.29,4.86,7.78,351.06,13076.0,23675.71,1.913
Ayel,ITZ,BR,2017 CBL 巴西夏季赛,TOP,27,37,62,2956,146992,155973.0,254784.0,11,7,390.4,4,0.6364,2.45,3.36,5.64,7.57,376.52,14179.36,23162.18,2.405
Lep,CNB,BR,2017 CBL 巴西夏季赛,TOP,5,14,14,1622,69152,76751.0,158252.0,4,1,193.6,3,0.25,1.25,3.5,3.5,8.38,357.19,19187.75,39563.0,1.357
Mylon,PNG,BR,2017 CBL 巴西夏季赛,TOP,16,7,22,1195,55078,97105.0,70865.0,3,2,130.6,1,0.6667,5.33,2.33,7.33,9.15,421.73,32368.33,23621.67,5.429
Robo,RED,BR,2017 CBL 巴西夏季赛,TOP,13,10,43,3059,135314,123436.0,233109.0,10,9,347.8,1,0.9,1.3,1.0,4.3,8.8,389.06,12343.6,23310.9,5.6
Thulz,REM,BR,2017 CBL 巴西夏季赛,TOP,5,9,25,1600,69870,50002.0,109300.0,6,1,215.6,5,0.1667,0.83,1.5,4.17,7.42,324.07,8333.67,18216.67,3.333
Yang,VK,BR,2017 CBL 巴西夏季赛,TOP,18,6,23,2000,91271,98095.0,118108.0,5,4,226.0,1,0.8,3.6,1.2,4.6,8.85,403.85,19619.0,23621.6,6.833
Zantins,KBM,BR,2017 CBL 巴西夏季赛,TOP,1,7,4,691,27416,25617.0,58916.0,2,0,78.7,2,0.0,0.5,3.5,2.0,8.78,348.36,12808.5,29458.0,0.714
Accelerator,FG,AR,2017 CLS 南拉丁美洲 春季赛,TOP,44,24,86,4254,194399,242379.0,264490.0,13,10,478.3,3,0.7692,3.38,1.85,6.62,8.89,406.44,18644.54,20345.38,5.417
Buggax,HAF,AR,2017 CLS 南拉丁美洲 春季赛,TOP,24,24,62,3192,143413,180963.0,299477.0,10,4,355.8,6,0.4,2.4,2.4,6.2,8.97,403.07,18096.3,29947.7,3.583
Mantarraya,RBT,CL,2017 CLS 南拉丁美洲 春季赛,TOP,15,26,45,2664,117062,107877.0,224753.0,10,3,323.2,7,0.3,1.5,2.6,4.5,8.24,362.2,10787.7,22475.3,2.308
Nipphu,Last Kings,CL,2017 CLS 南拉丁美洲 春季赛,TOP,28,28,47,3393,152315,171031.0,289662.0,11,5,396.0,6,0.4545,2.55,2.55,4.27,8.57,384.63,15548.27,26332.91,2.679
Pride,ISG,AR,2017 CLS 南拉丁美洲 春季赛,TOP,25,39,55,2517,124353,169402.0,257896.0,9,6,320.6,3,0.6667,2.78,4.33,6.11,7.85,387.88,18822.44,28655.11,2.051
Relenus,KLG,PR,2017 CLS 南拉丁美洲 春季赛,TOP,20,33,59,2400,113808,111372.0,243294.0,9,2,318.2,7,0.2222,2.22,3.67,6.56,7.54,357.66,12374.67,27032.67,2.394
Kaigu,LYB,PH,2017 GPL 东南亚 春季赛,TOP,5,3,15,505,26445,33351.0,53939.0,2,2,65.4,0,1.0,2.5,1.5,7.5,7.72,404.36,16675.5,26969.5,6.667
Revive,TR,SG,2017 GPL 东南亚 春季赛,TOP,10,11,12,824,39012,53689.0,63347.0,3,1,103.3,2,0.3333,3.33,3.67,4.0,7.98,377.66,17896.33,21115.67,2.0
Shiro,KLH,MY,2017 GPL 东南亚 春季赛,TOP,14,8,28,834,44465,56470.0,88809.0,3,2,113.7,1,0.6667,4.67,2.67,9.33,7.34,391.07,18823.33,29603.0,5.25
Square,FTS,ID,2017 GPL 东南亚 春季赛,TOP,4,11,15,403,23147,31270.0,59269.0,2,1,71.9,1,0.5,2.0,5.5,7.5,5.61,321.93,15635.0,29634.5,1.727
Expect,G2,EU,2017 IEM 卡托维兹站,TOP,11,11,38,1819,84585,95407.0,183611.0,6,2,227.2,4,0.3333,1.83,1.83,6.33,8.01,372.29,15901.17,30601.83,4.455
Lindarang,HLE,KR,2017 IEM 卡托维兹站,TOP,7,8,11,860,38970,55111.0,81932.0,3,2,101.8,1,0.6667,2.33,2.67,3.67,8.45,382.81,18370.33,27310.67,2.25
Odoamne,H2K,EU,2017 IEM 卡托维兹站,TOP,14,12,51,2488,116893,137406.0,252002.0,7,4,319.8,3,0.5714,2.0,1.71,7.29,7.78,365.52,19629.43,36000.29,5.417
Roach,KDM,KR,2017 IEM 卡托维兹站,TOP,1,5,6,765,30721,24579.0,53116.0,3,1,87.8,2,0.3333,0.33,1.67,2.0,8.71,349.9,8193.0,17705.33,1.4
Smurf,M19,RU,2017 IEM 卡托维兹站,TOP,2,4,0,230,9720,14827.0,25768.0,1,0,31.3,1,0.0,2.0,4.0,0.0,7.35,310.54,14827.0,25768.0,0.5
Vizicsacsi,UOL,RU,2017 IEM 卡托维兹站,TOP,10,19,31,1928,85182,112050.0,197980.0,5,1,213.5,4,0.2,2.0,3.8,6.2,9.03,398.98,22410.0,39596.0,2.158
Helper,EEW,KR,2017 LCK 升降级赛,TOP,8,5,37,1890,86695,62889.0,151927.0,6,5,234.4,1,0.8333,1.33,0.83,6.17,8.06,369.86,10481.5,25321.17,7.5
Ikssu,JAG,KR,2017 LCK 升降级赛,TOP,2,1,17,459,23269,25651.0,47188.0,2,2,61.9,0,1.0,1.0,0.5,8.5,7.42,375.91,12825.5,23594.0,9.5
Roach,KDM,KR,2017 LCK 升降级赛,TOP,4,4,13,1009,42670,46812.0,65474.0,3,2,108.9,1,0.6667,1.33,1.33,4.33,9.27,391.83,15604.0,21824.67,4.25
Sohwan,JAG,KR,2017 LCK 升降级赛,TOP,5,8,12,1481,61892,46229.0,111903.0,4,3,159.0,1,0.75,1.25,2.0,3.0,9.31,389.26,11557.25,27975.75,2.125
