hero_name,position,matchType,pick_count,ban_count,win_count,matches_played,pick_rate,ban_rate,win_rate
Ahri,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Ahri,MID,2017 CBL 巴西夏季赛,7,0,5,48,0.1458,0.0,0.7143
Akali,TOP,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Ashe,ADC,2017 CBL 巴西夏季赛,19,0,11,48,0.3958,0.0,0.5789
Ashe,Ban,2017 CBL 巴西夏季赛,0,14,0,48,0.0,0.2917,0.0
Aurelionsol,MID,2017 CBL 巴西夏季赛,2,0,2,48,0.0417,0.0,1.0
Azir,MID,2017 CBL 巴西夏季赛,2,0,0,48,0.0417,0.0,0.0
Bard,Ban,2017 CBL 巴西夏季赛,0,1,0,48,0.0,0.0208,0.0
Bard,SUP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Caitlyn,ADC,2017 CBL 巴西夏季赛,5,0,2,48,0.1042,0.0,0.4
Caitlyn,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Camille,Ban,2017 CBL 巴西夏季赛,0,36,0,48,0.0,0.75,0.0
Camille,MID,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Camille,TOP,2017 CBL 巴西夏季赛,3,0,2,48,0.0625,0.0,0.6667
Cassiopeia,Ban,2017 CBL 巴西夏季赛,0,16,0,48,0.0,0.3333,0.0
Cassiopeia,MID,2017 CBL 巴西夏季赛,10,0,5,48,0.2083,0.0,0.5
Corki,Ban,2017 CBL 巴西夏季赛,0,6,0,48,0.0,0.125,0.0
Corki,MID,2017 CBL 巴西夏季赛,9,0,2,48,0.1875,0.0,0.2222
Darius,Ban,2017 CBL 巴西夏季赛,0,10,0,48,0.0,0.2083,0.0
Darius,TOP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Ekko,Ban,2017 CBL 巴西夏季赛,0,14,0,48,0.0,0.2917,0.0
Ekko,MID,2017 CBL 巴西夏季赛,7,0,4,48,0.1458,0.0,0.5714
Ekko,TOP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Elise,Ban,2017 CBL 巴西夏季赛,0,6,0,48,0.0,0.125,0.0
Elise,JUG,2017 CBL 巴西夏季赛,11,0,7,48,0.2292,0.0,0.6364
Ezreal,ADC,2017 CBL 巴西夏季赛,15,0,8,48,0.3125,0.0,0.5333
Ezreal,Ban,2017 CBL 巴西夏季赛,0,1,0,48,0.0,0.0208,0.0
Fiora,Ban,2017 CBL 巴西夏季赛,0,14,0,48,0.0,0.2917,0.0
Fiora,TOP,2017 CBL 巴西夏季赛,4,0,1,48,0.0833,0.0,0.25
Fizz,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Fizz,MID,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Gangplank,Ban,2017 CBL 巴西夏季赛,0,5,0,48,0.0,0.1042,0.0
Gangplank,TOP,2017 CBL 巴西夏季赛,2,0,1,48,0.0417,0.0,0.5
Gragas,TOP,2017 CBL 巴西夏季赛,3,0,2,48,0.0625,0.0,0.6667
Graves,Ban,2017 CBL 巴西夏季赛,0,11,0,48,0.0,0.2292,0.0
Graves,JUG,2017 CBL 巴西夏季赛,10,0,4,48,0.2083,0.0,0.4
Illaoi,Ban,2017 CBL 巴西夏季赛,0,10,0,48,0.0,0.2083,0.0
Illaoi,TOP,2017 CBL 巴西夏季赛,3,0,3,48,0.0625,0.0,1.0
Ivern,Ban,2017 CBL 巴西夏季赛,0,6,0,48,0.0,0.125,0.0
Ivern,JUG,2017 CBL 巴西夏季赛,9,0,4,48,0.1875,0.0,0.4444
Janna,SUP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Jayce,Ban,2017 CBL 巴西夏季赛,0,20,0,48,0.0,0.4167,0.0
Jayce,MID,2017 CBL 巴西夏季赛,9,0,5,48,0.1875,0.0,0.5556
Jayce,TOP,2017 CBL 巴西夏季赛,5,0,3,48,0.1042,0.0,0.6
Jhin,ADC,2017 CBL 巴西夏季赛,22,0,12,48,0.4583,0.0,0.5455
Jhin,Ban,2017 CBL 巴西夏季赛,0,18,0,48,0.0,0.375,0.0
Karma,Ban,2017 CBL 巴西夏季赛,0,7,0,48,0.0,0.1458,0.0
Karma,MID,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Karma,SUP,2017 CBL 巴西夏季赛,30,0,17,48,0.625,0.0,0.5667
Kassadin,MID,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Katarina,Ban,2017 CBL 巴西夏季赛,0,7,0,48,0.0,0.1458,0.0
Katarina,MID,2017 CBL 巴西夏季赛,2,0,1,48,0.0417,0.0,0.5
Kennen,Ban,2017 CBL 巴西夏季赛,0,6,0,48,0.0,0.125,0.0
Khazix,Ban,2017 CBL 巴西夏季赛,0,6,0,48,0.0,0.125,0.0
Khazix,JUG,2017 CBL 巴西夏季赛,21,0,11,48,0.4375,0.0,0.5238
Kogmaw,ADC,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Leblanc,Ban,2017 CBL 巴西夏季赛,0,38,0,48,0.0,0.7917,0.0
Leblanc,MID,2017 CBL 巴西夏季赛,2,0,0,48,0.0417,0.0,0.0
Leesin,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Leesin,JUG,2017 CBL 巴西夏季赛,15,0,5,48,0.3125,0.0,0.3333
Lulu,Ban,2017 CBL 巴西夏季赛,0,7,0,48,0.0,0.1458,0.0
Lulu,SUP,2017 CBL 巴西夏季赛,4,0,2,48,0.0833,0.0,0.5
Malphite,TOP,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Malzahar,Ban,2017 CBL 巴西夏季赛,0,18,0,48,0.0,0.375,0.0
Malzahar,MID,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Malzahar,SUP,2017 CBL 巴西夏季赛,21,0,13,48,0.4375,0.0,0.619
Maokai,Ban,2017 CBL 巴西夏季赛,0,9,0,48,0.0,0.1875,0.0
Maokai,TOP,2017 CBL 巴西夏季赛,24,0,13,48,0.5,0.0,0.5417
Missfortune,Ban,2017 CBL 巴西夏季赛,0,3,0,48,0.0,0.0625,0.0
Missfortune,SUP,2017 CBL 巴西夏季赛,7,0,2,48,0.1458,0.0,0.2857
Nami,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Nami,SUP,2017 CBL 巴西夏季赛,3,0,2,48,0.0625,0.0,0.6667
Nautilus,Ban,2017 CBL 巴西夏季赛,0,3,0,48,0.0,0.0625,0.0
Nautilus,SUP,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Nautilus,TOP,2017 CBL 巴西夏季赛,13,0,4,48,0.2708,0.0,0.3077
Nocturne,JUG,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Olaf,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Olaf,JUG,2017 CBL 巴西夏季赛,5,0,5,48,0.1042,0.0,1.0
Orianna,Ban,2017 CBL 巴西夏季赛,0,5,0,48,0.0,0.1042,0.0
Orianna,MID,2017 CBL 巴西夏季赛,10,0,2,48,0.2083,0.0,0.2
Poppy,Ban,2017 CBL 巴西夏季赛,0,5,0,48,0.0,0.1042,0.0
Poppy,TOP,2017 CBL 巴西夏季赛,9,0,4,48,0.1875,0.0,0.4444
Reksai,Ban,2017 CBL 巴西夏季赛,0,7,0,48,0.0,0.1458,0.0
Reksai,JUG,2017 CBL 巴西夏季赛,13,0,6,48,0.2708,0.0,0.4615
Renekton,Ban,2017 CBL 巴西夏季赛,0,3,0,48,0.0,0.0625,0.0
Renekton,TOP,2017 CBL 巴西夏季赛,5,0,2,48,0.1042,0.0,0.4
Rengar,Ban,2017 CBL 巴西夏季赛,0,36,0,48,0.0,0.75,0.0
Rengar,JUG,2017 CBL 巴西夏季赛,10,0,6,48,0.2083,0.0,0.6
Rumble,Ban,2017 CBL 巴西夏季赛,0,8,0,48,0.0,0.1667,0.0
Rumble,JUG,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Rumble,TOP,2017 CBL 巴西夏季赛,3,0,2,48,0.0625,0.0,0.6667
Ryze,Ban,2017 CBL 巴西夏季赛,0,13,0,48,0.0,0.2708,0.0
Ryze,MID,2017 CBL 巴西夏季赛,8,0,5,48,0.1667,0.0,0.625
Shen,Ban,2017 CBL 巴西夏季赛,0,20,0,48,0.0,0.4167,0.0
Shen,TOP,2017 CBL 巴西夏季赛,14,0,7,48,0.2917,0.0,0.5
Singed,TOP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Sion,TOP,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Sivir,ADC,2017 CBL 巴西夏季赛,3,0,0,48,0.0625,0.0,0.0
Swain,Ban,2017 CBL 巴西夏季赛,0,2,0,48,0.0,0.0417,0.0
Swain,TOP,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Syndra,Ban,2017 CBL 巴西夏季赛,0,25,0,48,0.0,0.5208,0.0
Syndra,MID,2017 CBL 巴西夏季赛,16,0,11,48,0.3333,0.0,0.6875
Tahmkench,SUP,2017 CBL 巴西夏季赛,4,0,1,48,0.0833,0.0,0.25
Taliyah,Ban,2017 CBL 巴西夏季赛,0,8,0,48,0.0,0.1667,0.0
Taliyah,MID,2017 CBL 巴西夏季赛,1,0,0,48,0.0208,0.0,0.0
Talon,Ban,2017 CBL 巴西夏季赛,0,1,0,48,0.0,0.0208,0.0
Thresh,Ban,2017 CBL 巴西夏季赛,0,4,0,48,0.0,0.0833,0.0
Thresh,SUP,2017 CBL 巴西夏季赛,7,0,4,48,0.1458,0.0,0.5714
Varus,ADC,2017 CBL 巴西夏季赛,26,0,13,48,0.5417,0.0,0.5
Varus,Ban,2017 CBL 巴西夏季赛,0,14,0,48,0.0,0.2917,0.0
Viktor,MID,2017 CBL 巴西夏季赛,5,0,1,48,0.1042,0.0,0.2
Vladimir,Ban,2017 CBL 巴西夏季赛,0,1,0,48,0.0,0.0208,0.0
Yorick,TOP,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Zed,Ban,2017 CBL 巴西夏季赛,0,4,0,48,0.0,0.0833,0.0
Zed,MID,2017 CBL 巴西夏季赛,1,0,1,48,0.0208,0.0,1.0
Ziggs,ADC,2017 CBL 巴西夏季赛,5,0,2,48,0.1042,0.0,0.4
Ziggs,Ban,2017 CBL 巴西夏季赛,0,3,0,48,0.0,0.0625,0.0
Zyra,Ban,2017 CBL 巴西夏季赛,0,17,0,48,0.0,0.3542,0.0
Zyra,SUP,2017 CBL 巴西夏季赛,17,0,5,48,0.3542,0.0,0.2941
Ahri,Ban,2017 CLS 南拉丁美洲 春季赛,0,4,0,62,0.0,0.0645,0.0
Ahri,MID,2017 CLS 南拉丁美洲 春季赛,6,0,3,62,0.0968,0.0,0.5
Ashe,ADC,2017 CLS 南拉丁美洲 春季赛,19,0,6,62,0.3065,0.0,0.3158
Ashe,Ban,2017 CLS 南拉丁美洲 春季赛,0,9,0,62,0.0,0.1452,0.0
Aurelionsol,MID,2017 CLS 南拉丁美洲 春季赛,2,0,0,62,0.0323,0.0,0.0
Azir,MID,2017 CLS 南拉丁美洲 春季赛,2,0,2,62,0.0323,0.0,1.0
Bard,SUP,2017 CLS 南拉丁美洲 春季赛,2,0,0,62,0.0323,0.0,0.0
Braum,SUP,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Caitlyn,ADC,2017 CLS 南拉丁美洲 春季赛,22,0,14,62,0.3548,0.0,0.6364
Caitlyn,Ban,2017 CLS 南拉丁美洲 春季赛,0,11,0,62,0.0,0.1774,0.0
Camille,Ban,2017 CLS 南拉丁美洲 春季赛,0,57,0,62,0.0,0.9194,0.0
Camille,TOP,2017 CLS 南拉丁美洲 春季赛,5,0,5,62,0.0806,0.0,1.0
Cassiopeia,Ban,2017 CLS 南拉丁美洲 春季赛,0,18,0,62,0.0,0.2903,0.0
Cassiopeia,MID,2017 CLS 南拉丁美洲 春季赛,18,0,14,62,0.2903,0.0,0.7778
Corki,Ban,2017 CLS 南拉丁美洲 春季赛,0,9,0,62,0.0,0.1452,0.0
Corki,MID,2017 CLS 南拉丁美洲 春季赛,14,0,7,62,0.2258,0.0,0.5
Darius,Ban,2017 CLS 南拉丁美洲 春季赛,0,2,0,62,0.0,0.0323,0.0
Darius,TOP,2017 CLS 南拉丁美洲 春季赛,2,0,2,62,0.0323,0.0,1.0
Drmundo,TOP,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Ekko,Ban,2017 CLS 南拉丁美洲 春季赛,0,9,0,62,0.0,0.1452,0.0
Ekko,MID,2017 CLS 南拉丁美洲 春季赛,10,0,4,62,0.1613,0.0,0.4
Ekko,TOP,2017 CLS 南拉丁美洲 春季赛,2,0,1,62,0.0323,0.0,0.5
Elise,Ban,2017 CLS 南拉丁美洲 春季赛,0,14,0,62,0.0,0.2258,0.0
Elise,JUG,2017 CLS 南拉丁美洲 春季赛,21,0,12,62,0.3387,0.0,0.5714
Ezreal,ADC,2017 CLS 南拉丁美洲 春季赛,12,0,4,62,0.1935,0.0,0.3333
Ezreal,Ban,2017 CLS 南拉丁美洲 春季赛,0,3,0,62,0.0,0.0484,0.0
Fiora,Ban,2017 CLS 南拉丁美洲 春季赛,0,18,0,62,0.0,0.2903,0.0
Fiora,TOP,2017 CLS 南拉丁美洲 春季赛,9,0,2,62,0.1452,0.0,0.2222
Gangplank,Ban,2017 CLS 南拉丁美洲 春季赛,0,1,0,62,0.0,0.0161,0.0
Gangplank,TOP,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Gnar,TOP,2017 CLS 南拉丁美洲 春季赛,2,0,1,62,0.0323,0.0,0.5
Gragas,Ban,2017 CLS 南拉丁美洲 春季赛,0,3,0,62,0.0,0.0484,0.0
Gragas,JUG,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Gragas,TOP,2017 CLS 南拉丁美洲 春季赛,3,0,1,62,0.0484,0.0,0.3333
Graves,Ban,2017 CLS 南拉丁美洲 春季赛,0,11,0,62,0.0,0.1774,0.0
Graves,JUG,2017 CLS 南拉丁美洲 春季赛,23,0,12,62,0.371,0.0,0.5217
Ivern,Ban,2017 CLS 南拉丁美洲 春季赛,0,9,0,62,0.0,0.1452,0.0
Ivern,JUG,2017 CLS 南拉丁美洲 春季赛,8,0,5,62,0.129,0.0,0.625
Janna,SUP,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Jax,Ban,2017 CLS 南拉丁美洲 春季赛,0,4,0,62,0.0,0.0645,0.0
Jax,TOP,2017 CLS 南拉丁美洲 春季赛,1,0,1,62,0.0161,0.0,1.0
Jayce,Ban,2017 CLS 南拉丁美洲 春季赛,0,40,0,62,0.0,0.6452,0.0
Jayce,MID,2017 CLS 南拉丁美洲 春季赛,8,0,2,62,0.129,0.0,0.25
Jayce,TOP,2017 CLS 南拉丁美洲 春季赛,8,0,6,62,0.129,0.0,0.75
Jhin,ADC,2017 CLS 南拉丁美洲 春季赛,27,0,11,62,0.4355,0.0,0.4074
Jhin,Ban,2017 CLS 南拉丁美洲 春季赛,0,15,0,62,0.0,0.2419,0.0
Kalista,ADC,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Karma,Ban,2017 CLS 南拉丁美洲 春季赛,0,12,0,62,0.0,0.1935,0.0
Karma,SUP,2017 CLS 南拉丁美洲 春季赛,35,0,17,62,0.5645,0.0,0.4857
Karthus,MID,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Kassadin,MID,2017 CLS 南拉丁美洲 春季赛,3,0,2,62,0.0484,0.0,0.6667
Katarina,Ban,2017 CLS 南拉丁美洲 春季赛,0,4,0,62,0.0,0.0645,0.0
Katarina,MID,2017 CLS 南拉丁美洲 春季赛,2,0,2,62,0.0323,0.0,1.0
Kayle,Ban,2017 CLS 南拉丁美洲 春季赛,0,1,0,62,0.0,0.0161,0.0
Kennen,Ban,2017 CLS 南拉丁美洲 春季赛,0,2,0,62,0.0,0.0323,0.0
Kennen,TOP,2017 CLS 南拉丁美洲 春季赛,1,0,0,62,0.0161,0.0,0.0
Khazix,Ban,2017 CLS 南拉丁美洲 春季赛,0,22,0,62,0.0,0.3548,0.0
Khazix,JUG,2017 CLS 南拉丁美洲 春季赛,23,0,10,62,0.371,0.0,0.4348
Kled,Ban,2017 CLS 南拉丁美洲 春季赛,0,1,0,62,0.0,0.0161,0.0
Kled,TOP,2017 CLS 南拉丁美洲 春季赛,3,0,2,62,0.0484,0.0,0.6667
Kogmaw,Ban,2017 CLS 南拉丁美洲 春季赛,0,1,0,62,0.0,0.0161,0.0
Leblanc,Ban,2017 CLS 南拉丁美洲 春季赛,0,49,0,62,0.0,0.7903,0.0
Leblanc,MID,2017 CLS 南拉丁美洲 春季赛,3,0,2,62,0.0484,0.0,0.6667
Leesin,Ban,2017 CLS 南拉丁美洲 春季赛,0,10,0,62,0.0,0.1613,0.0
Leesin,JUG,2017 CLS 南拉丁美洲 春季赛,15,0,7,62,0.2419,0.0,0.4667
Lucian,ADC,2017 CLS 南拉丁美洲 春季赛,9,0,6,62,0.1452,0.0,0.6667
