Team1_name,Team1_region,Team2_name,Team2_region,matchType,matches_played,minutes_played,matches_won_1,matches_won_2,Team1_Baron,Team1_Dra,Team1_Turts,Team1_kills,Team1_deaths,Team1_assists,Team1_CS,Team1_gold,Team1_damage,Team1_tanking,Team2_Baron,Team2_Dra,Team2_Turts,Team2_kills,Team2_deaths,Team2_assists,Team2_CS,Team2_gold,Team2_damage,Team2_tanking
OPK,BR,VK,BR,2017 CBL 巴西夏季赛,2,96.9,0,2,3,5,10,25,28,42,2959,165666,183624.0,278729.0,1,6,18,28,25,73,2976,172557,215018.0,251682.0
CNB,BR,REM,BR,2017 CBL 巴西夏季赛,2,102.8,1,1,3,7,13,26,28,58,3239,183753,239950.0,272483.0,1,5,15,28,26,74,3239,180336,194286.0,297586.0
ITZ,BR,VK,BR,2017 CBL 巴西夏季赛,5,193.2,2,3,4,8,25,61,76,149,5691,328520,323845.0,473119.0,4,13,37,76,61,181,5603,341487,325955.0,457417.0
ITZ,BR,OPK,BR,2017 CBL 巴西夏季赛,2,68.5,2,0,3,5,19,37,24,92,2031,133329,158405.0,193142.0,0,3,3,24,37,52,1897,107349,137802.0,202118.0
CNB,BR,ITZ,BR,2017 CBL 巴西夏季赛,2,62.5,1,1,1,1,9,31,12,62,1890,109386,119909.0,119340.0,2,5,14,12,31,23,1784,106615,79034.0,172642.0
CNB,BR,PNG,BR,2017 CBL 巴西夏季赛,2,90.8,0,2,1,2,10,8,25,19,2899,146372,188346.0,245553.0,2,9,20,25,8,72,2791,165064,184349.0,239341.0
OPK,BR,REM,BR,2017 CBL 巴西夏季赛,2,75.5,2,0,4,9,20,34,13,83,2364,145737,162311.0,201948.0,0,1,9,13,34,24,2384,124973,129957.0,202692.0
ITZ,BR,REM,BR,2017 CBL 巴西夏季赛,2,55.0,2,0,1,4,22,22,14,34,1701,106988,83164.0,131607.0,0,2,4,14,22,21,1580,84194,79973.0,109050.0
CNB,BR,RED,BR,2017 CBL 巴西夏季赛,2,71.5,0,2,1,0,2,11,20,25,2218,110543,106193.0,181196.0,3,5,22,20,11,38,2307,137585,135644.0,156377.0
PNG,BR,RED,BR,2017 CBL 巴西夏季赛,6,217.2,2,4,4,14,36,51,49,109,6939,376016,365661.0,540361.0,5,9,43,49,51,104,7083,383277,365746.0,562393.0
ITZ,BR,PNG,BR,2017 CBL 巴西夏季赛,2,66.2,2,0,3,6,19,31,13,69,2125,130971,115088.0,149521.0,0,1,5,13,31,26,1990,104032,89594.0,141770.0
OPK,BR,PNG,BR,2017 CBL 巴西夏季赛,2,90.2,1,1,2,3,9,28,42,66,2808,154787,178229.0,256949.0,3,5,18,42,28,67,2741,174274,200722.0,256998.0
CNB,BR,KBM,BR,2017 CBL 巴西夏季赛,2,78.7,2,0,2,9,17,45,13,98,2426,150057,180046.0,197724.0,1,0,6,13,46,21,2353,125594,131773.0,241573.0
KBM,BR,VK,BR,2017 CBL 巴西夏季赛,2,89.7,0,2,1,2,6,18,28,39,2888,151506,166671.0,249119.0,4,7,20,27,18,55,2917,170874,174520.0,218768.0
OPK,BR,RED,BR,2017 CBL 巴西夏季赛,2,54.0,0,2,0,1,3,8,33,12,1613,81205,77465.0,136631.0,1,3,19,33,8,69,1722,109512,102677.0,119584.0
KBM,BR,OPK,BR,2017 CBL 巴西夏季赛,1,35.2,1,0,1,4,9,20,9,48,1105,68083,78235.0,105196.0,0,0,1,9,20,20,1003,54015,63267.0,98115.0
ITZ,BR,RED,BR,2017 CBL 巴西夏季赛,2,59.9,0,2,0,0,8,9,24,17,1837,95700,62210.0,132451.0,2,6,20,24,9,60,1887,113570,90479.0,121834.0
REM,BR,VK,BR,2017 CBL 巴西夏季赛,2,74.3,1,1,2,2,13,26,13,57,2348,131861,108700.0,127236.0,1,5,9,13,26,23,2398,125100,91409.0,163589.0
RED,BR,REM,BR,2017 CBL 巴西夏季赛,2,86.3,2,0,4,7,19,30,18,71,2429,155765,170972.0,207363.0,1,2,7,18,30,45,2522,138316,131262.0,232625.0
KBM,BR,PNG,BR,2017 CBL 巴西夏季赛,1,46.3,0,1,2,4,7,12,21,35,1362,80456,108383.0,121628.0,0,1,8,21,12,57,1380,82972,96982.0,146217.0
