Team1_name,Team1_region,Team2_name,Team2_region,matchType,matches_played,minutes_played,Team1_player1_name,Team1_player1_position,Team1_player1_kills,Team1_player1_deaths,Team1_player1_assists,Team1_player1_CS,Team1_player1_gold,Team1_player1_damage,Team1_player1_tanking,Team1_player2_name,Team1_player2_position,Team1_player2_kills,Team1_player2_deaths,Team1_player2_assists,Team1_player2_CS,Team1_player2_gold,Team1_player2_damage,Team1_player2_tanking,Team1_player3_name,Team1_player3_position,Team1_player3_kills,Team1_player3_deaths,Team1_player3_assists,Team1_player3_CS,Team1_player3_gold,Team1_player3_damage,Team1_player3_tanking,Team1_player4_name,Team1_player4_position,Team1_player4_kills,Team1_player4_deaths,Team1_player4_assists,Team1_player4_CS,Team1_player4_gold,Team1_player4_damage,Team1_player4_tanking,Team1_player5_name,Team1_player5_position,Team1_player5_kills,Team1_player5_deaths,Team1_player5_assists,Team1_player5_CS,Team1_player5_gold,Team1_player5_damage,Team1_player5_tanking,Team2_player1_name,Team2_player1_position,Team2_player1_kills,Team2_player1_deaths,Team2_player1_assists,Team2_player1_CS,Team2_player1_gold,Team2_player1_damage,Team2_player1_tanking,Team2_player2_name,Team2_player2_position,Team2_player2_kills,Team2_player2_deaths,Team2_player2_assists,Team2_player2_CS,Team2_player2_gold,Team2_player2_damage,Team2_player2_tanking,Team2_player3_name,Team2_player3_position,Team2_player3_kills,Team2_player3_deaths,Team2_player3_assists,Team2_player3_CS,Team2_player3_gold,Team2_player3_damage,Team2_player3_tanking,Team2_player4_name,Team2_player4_position,Team2_player4_kills,Team2_player4_deaths,Team2_player4_assists,Team2_player4_CS,Team2_player4_gold,Team2_player4_damage,Team2_player4_tanking,Team2_player5_name,Team2_player5_position,Team2_player5_kills,Team2_player5_deaths,Team2_player5_assists,Team2_player5_CS,Team2_player5_gold,Team2_player5_damage,Team2_player5_tanking
OPK,BR,VK,BR,2017 CBL 巴西夏季赛,2,96.9,Aoshi,TOP,5,5,3,771,35135,32775.0,76112.0,Ranger,JUG,2,6,14,471,31431,26486.0,89742.0,Dynquedo,MID,8,4,4,881,38276,39506.0,41039.0,Luskka,ADC,5,6,11,775,36081,59722.0,34357.0,Bocajunior,SUP,5,7,10,61,24743,25135.0,37479.0,Yang,TOP,8,3,14,747,36831,52684.0,50806.0,Revolta,JUG,6,4,13,451,33346,40793.0,81621.0,Takeshi,MID,11,7,9,903,41018,49987.0,54522.0,Esa,ADC,3,6,15,802,37012,60962.0,27908.0,Ziriguidun,SUP,0,5,22,73,24350,10592.0,36825.0
ITZ,BR,VK,BR,2017 CBL 巴西夏季赛,5,193.2,Ayel,TOP,13,17,20,1482,68091,57591.0,125620.0,Turtle,JUG,8,16,37,654,58998,32524.0,130987.0,Envy,MID,17,16,27,1679,75647,94911.0,71714.0,Micao,ADC,21,9,25,1694,78136,100153.0,67560.0,Jockster,SUP,2,18,40,182,47648,38666.0,77238.0,Yang,TOP,11,8,33,1471,68870,54479.0,133786.0,Revolta,JUG,21,12,32,860,67310,63736.0,129602.0,Takeshi,MID,20,11,35,1607,76725,89644.0,63380.0,Esa,ADC,19,13,36,1531,77171,87997.0,62126.0,Ziriguidun,SUP,5,17,45,134,51411,30099.0,68523.0
REM,BR,VK,BR,2017 CBL 巴西夏季赛,2,74.3,Thulz,TOP,3,1,10,579,26300,17141.0,29084.0,4Lan,JUG,5,3,13,323,25414,14974.0,39025.0,Evrot,MID,13,3,5,682,30893,32976.0,17932.0,Sarkis,ADC,5,3,11,656,28528,26492.0,18854.0,Cabuloso,SUP,0,3,18,108,20726,17117.0,22341.0,Yang,TOP,3,4,3,593,25944,19599.0,33166.0,Revolta,JUG,3,4,6,357,24214,19260.0,51304.0,Takeshi,MID,3,5,1,718,29019,15725.0,32913.0,Esa,ADC,3,3,6,669,27650,20024.0,20486.0,Ziriguidun,SUP,1,10,7,61,18273,16801.0,25720.0
CNB,BR,REM,BR,2017 CBL 巴西夏季赛,2,102.8,Lep,TOP,4,7,12,863,37992,37463.0,90504.0,Minerva,JUG,3,9,11,535,35189,23336.0,76837.0,Tinowns,MID,15,6,6,884,43130,86321.0,33099.0,Pbo,ADC,4,1,13,851,40116,70952.0,41122.0,Wos,SUP,0,5,16,106,27326,21878.0,30921.0,Thulz,TOP,7,6,12,748,36396,40341.0,76580.0,4Lan,JUG,8,6,15,668,38662,37149.0,96227.0,Evrot,MID,7,5,11,892,40450,39868.0,42024.0,Sarkis,ADC,6,2,15,827,38511,65997.0,29731.0,Cabuloso,SUP,0,7,21,104,26317,10931.0,53024.0
CNB,BR,ITZ,BR,2017 CBL 巴西夏季赛,2,62.5,Lep,TOP,11,3,8,552,24938,29330.0,34959.0,Minerva,JUG,6,4,17,226,20702,15368.0,34599.0,Tinowns,MID,6,2,10,557,24343,36543.0,17757.0,Pbo,ADC,6,1,10,508,23448,27738.0,14438.0,Wos,SUP,2,2,17,47,15955,10930.0,17587.0,Ayel,TOP,6,9,3,452,24021,28314.0,39804.0,Turtle,JUG,0,6,9,259,19598,9501.0,58196.0,Envy,MID,1,4,2,501,22342,13721.0,29765.0,Micao,ADC,2,5,6,525,23866,14458.0,22305.0,Jockster,SUP,3,7,3,47,16788,13040.0,22572.0
CNB,BR,RED,BR,2017 CBL 巴西夏季赛,2,71.5,Lep,TOP,1,4,5,596,23655,23028.0,61348.0,Minerva,JUG,2,5,5,222,19180,10770.0,35309.0,Tinowns,MID,4,1,4,723,27238,34959.0,24648.0,Pbo,ADC,4,4,4,604,24803,27130.0,25956.0,Wos,SUP,0,6,7,73,15667,10306.0,33935.0,Robo,TOP,3,1,8,640,28684,26837.0,51042.0,Nappon,JUG,3,2,8,255,24339,12013.0,43490.0,Tockers,MID,7,3,9,624,30892,43104.0,26269.0,Brtt,ADC,7,3,4,716,32617,40405.0,20602.0,Dioud,SUP,0,2,9,72,21053,13285.0,14974.0
OPK,BR,REM,BR,2017 CBL 巴西夏季赛,2,75.5,Aoshi,TOP,4,2,15,615,29365,29414.0,52648.0,Ranger,JUG,6,5,19,362,28299,23473.0,70784.0,Dynquedo,MID,5,2,16,668,31411,39994.0,28151.0,Luskka,ADC,14,2,14,645,34105,55564.0,24553.0,Bocajunior,SUP,5,2,19,74,22557,13866.0,25812.0,Thulz,TOP,3,8,4,626,26915,24429.0,52381.0,4Lan,JUG,4,6,7,316,23731,19347.0,61022.0,Evrot,MID,3,4,2,707,27904,28288.0,26752.0,Sarkis,ADC,3,6,3,652,27030,28746.0,28149.0,Cabuloso,SUP,0,10,8,83,19393,29147.0,34388.0
PNG,BR,RED,BR,2017 CBL 巴西夏季赛,6,217.2,Mylon,TOP,12,11,21,1895,82061,102615.0,125639.0,Sirt,JUG,10,12,15,1093,72232,47462.0,174342.0,Kami,MID,19,7,19,1926,85116,92506.0,85782.0,Matsukaze,ADC,9,7,20,1832,81755,89738.0,65677.0,Loop,SUP,1,12,34,193,54852,33340.0,88921.0,Robo,TOP,5,11,20,1976,82137,63316.0,160192.0,Nappon,JUG,13,9,25,972,73368,62813.0,164126.0,Yoda,MID,17,12,15,1857,84323,115090.0,91851.0,Brtt,ADC,12,12,15,2061,87930,95255.0,77621.0,Dioud,SUP,2,7,29,217,55519,29272.0,68603.0
RED,BR,REM,BR,2017 CBL 巴西夏季赛,2,86.3,Robo,TOP,5,1,17,560,30576,34432.0,55563.0,Nappon,JUG,5,5,11,360,29198,29791.0,58452.0,Tockers,MID,11,6,8,729,37393,47972.0,39194.0,Brtt,ADC,8,4,13,708,35724,45041.0,29470.0,Dioud,SUP,1,2,22,72,22874,13736.0,24684.0,Thulz,TOP,2,5,11,577,26984,18992.0,59066.0,4Lan,JUG,3,4,11,422,26339,22731.0,69804.0,Evrot,MID,11,6,6,801,34508,40425.0,31054.0,Sarkis,ADC,1,7,6,657,29440,33690.0,34832.0,Cabuloso,SUP,1,8,11,65,21045,15424.0,37869.0
ITZ,BR,REM,BR,2017 CBL 巴西夏季赛,2,55.0,Ayel,TOP,4,2,2,529,24197,27786.0,36016.0,Turtle,JUG,5,3,9,181,19311,9532.0,45558.0,Envy,MID,5,7,9,496,23734,19564.0,25082.0,Micao,ADC,5,0,4,473,23817,19088.0,12197.0,Jockster,SUP,3,2,10,22,15929,7194.0,12754.0,Thulz,TOP,0,3,4,444,16586,13869.0,21150.0,4Lan,JUG,5,5,4,200,16371,13809.0,33135.0,Evrot,MID,5,5,0,470,19557,19597.0,17157.0,Sarkis,ADC,2,4,7,400,17772,24186.0,15431.0,Cabuloso,SUP,2,5,6,66,13908,8512.0,22177.0
