player_name,player_team,player_region,matchType,matches_played,minutes_played,matches_won,hero_chosen_1,hero_chosen_2,hero_chosen_3,hero_chosen_4,hero_chosen_5,hero_chosen_6,hero_chosen_7,hero_chosen_8,hero_chosen_9,hero_chosen_10
Letme,RNG,CN,2017 LPL 春季赛,41,1392,27,Camille,Camille,Fizz,Shen,Fiora,Shen,Gnar,Gragas,Jayce,Rumble
Duke,IG,CN,2017 LPL 春季赛,39,1472,21,Rumble,Gragas,Fiora,Maokai,Camille,Rumble,Rumble,Gragas,Rumble,Maokai
957,WE,CN,2017 LPL 春季赛,42,1487,29,Shen,Nautilus,Gragas,Kled,Kled,Nautilus,Kled,Nautilus,Nautilus,Rumble
Mouse,EDG,CN,2017 LPL 春季赛,39,1420,26,Fizz,Nautilus,Gragas,Gragas,Kennen,Kennen,Gragas,Gragas,Rumble,Gragas
Amazingj,IM,CN,2017 LPL 春季赛,43,1660,20,Fizz,Gragas,Gragas,Fizz,Kennen,Kled,Gangplank,Renekton,Nautilus,Gragas
Flandre,LNG,CN,2017 LPL 春季赛,35,1241,14,Jayce,Gragas,Rumble,Gangplank,Rumble,Shen,Kled,Rumble,Gangplank,Rumble
Gimgoon,GT,CN,2017 LPL 春季赛,36,1311,9,Galio,Galio,Kennen,Nautilus,Kled,Kled,Kled,Kled,Rumble,Rumble
Loong,RA,CN,2017 LPL 春季赛,35,1249,13,Jayce,Kennen,Shen,Shen,Rumble,Kled,Kennen,Shen,Shen,Renekton
Koro1,EDG,CN,2017 LPL 春季赛,10,366,5,Renekton,Kennen,Fizz,Fizz,Rumble,Nautilus,Jayce,Maokai,Poppy,Jayce
Funny,LGD,CN,2017 LPL 春季赛,21,714,7,Renekton,Gragas,Nautilus,Shen,Rumble,Renekton,Shen,Rumble,Gragas,Rumble
V,NB,CN,2017 LPL 春季赛,30,1145,13,Fizz,Nautilus,Jarvaniv,Nautilus,Rumble,Fizz,Nautilus,Shen,Jarvaniv,Nautilus
Kabe,JDG,CN,2017 LPL 春季赛,37,1346,22,Nautilus,Nautilus,Nautilus,Shen,Shen,Gragas,Nautilus,Nautilus,Nautilus,Rumble
Xiyang,OMG,CN,2017 LPL 春季赛,50,1908,25,Renekton,Fizz,Jayce,Renekton,Renekton,Shen,Shen,Gragas,Gragas,Renekton
Skye,NB,CN,2017 LPL 春季赛,16,580,7,Gragas,Gragas,Rumble,Nautilus,Nautilus,Nautilus,Nautilus,Nautilus,Nautilus,Gragas
Jinoo,LGD,CN,2017 LPL 春季赛,18,610,7,Fiora,Rumble,Fizz,Fizz,Fizz,Camille,Kled,Renekton,Rumble,Fiora
Lindarang,HLE,KR,2017 LCK 韩国春季赛,17,674,6,Maokai,Fiora,Nautilus,Nautilus,Maokai,Camille,Maokai,Camille,Maokai,Maokai
Expession,DRX,KR,2017 LCK 韩国春季赛,45,1707,19,Kennen,Nautilus,Nautilus,Nautilus,Gangplank,Shen,Kennen,Maokai,Ekko,Shen
Ikssu,JAG,KR,2017 LCK 韩国春季赛,33,1377,9,Gragas,Maokai,Nautilus,Gragas,Rumble,Shen,Poppy,Rumble,Shen,Kennen
Add,MVP,KR,2017 LCK 韩国春季赛,50,1805,24,Poppy,Sion,Nautilus,Jarvaniv,Jarvaniv,Renekton,Fizz,Nautilus,Shen,Gragas
Marin,KDF,KR,2017 LCK 韩国春季赛,48,1778,26,Nautilus,Nautilus,Nautilus,Gragas,Drmundo,Rumble,Nautilus,Kennen,Gragas,Nautilus
Shy,HLE,KR,2017 LCK 韩国春季赛,27,917,16,Renekton,Shen,Renekton,Shen,Shen,Renekton,Nautilus,Nautilus,Nautilus,Jayce
Roach,KDM,KR,2017 LCK 韩国春季赛,45,1683,12,Shen,Shen,Shen,Maokai,Gragas,Nautilus,Shen,Gragas,Nautilus,Jayce
Cuvee,GEN,KR,2017 LCK 韩国春季赛,45,1628,30,Nautilus,Jayce,Kennen,Nautilus,Nautilus,Maokai,Nautilus,Nautilus,Maokai,Poppy
Crazy,BBQ,KR,2017 LCK 韩国春季赛,41,1483,15,Fizz,Shen,Shen,Maokai,Rumble,Maokai,Maokai,Maokai,Rumble,Nautilus
Smeb,KT,KR,2017 LCK 韩国春季赛,52,1912,34,Jayce,Jayce,Kennen,Kennen,Rumble,Camille,Kennen,Rumble,Shen,Renekton
Huni,T1,KR,2017 LCK 韩国春季赛,34,1256,26,Gragas,Shen,Rumble,Fizz,Nautilus,Gragas,Shen,Nautilus,Gangplank,Rumble
Profit,T1,KR,2017 LCK 韩国春季赛,8,270,6,Shen,Nautilus,Nautilus,Rumble,Rumble,Nautilus,Nautilus,Nautilus,,
Sohwan,JAG,KR,2017 LCK 韩国春季赛,9,347,4,Jayce,Shen,Rumble,Jayce,Shen,Renekton,Rumble,Rumble,Maokai,
Hauntzer,TSM,US,2017 LCS 北美春季赛,47,1652,31,Camille,Nautilus,Camille,Gragas,Camille,Nautilus,Renekton,Nautilus,Nautilus,Maokai
